,GUID,English,Greek,Part of Speach,Gender,Tag,Sub Tag 1,Sub Tag 2
154,BE>L3EsAI*,oven,φούρνος,noun,masculine,home,area,kitchen
155,HlCz6GR_Ew,pan,τηγάνι,noun,neuter,home,area,kitchen
156,pebzLHeRdo,plate,πιάτο,noun,neuter,home,area,kitchen
157,A;uA</^+#y,pot,κατσαρόλα,noun,feminine,home,area,kitchen
158,kp4m*SJMUI,refrigerator,ψυγείο,noun,neuter,home,area,kitchen
159,E.zM3Ox#eU,sink,νεροχύτης,noun,masculine,home,area,kitchen
160,EC)D)bj&r0,spatula,σπάτουλα,noun,feminine,home,area,kitchen
161,j}_r*B{VBS,spoon,κουτάλι,noun,neuter,home,area,kitchen
162,Ew+>+RdWvT,whisk,σύρμα,noun,feminine,home,area,kitchen
163,bHk/RUPmqw,computer,υπολογιστής,noun,masculine,home,area,livingroom
164,D(Q{`*N5Tw,couch,καναπές,noun,masculine,home,area,livingroom
165,c7#))$n|R*,television,τηλεόραση,noun,feminine,home,area,livingroom
166,t2[GTDqVWu,vase,βάζο,noun,neuter,home,area,livingroom
167,SfsGPW293V,faucet,βρύση,noun,feminine,home,area,bathroom
168,bRc3AtLz1K,bedroom,υπνοδωμάτιο,noun,neuter,home,area,
169,m5u78eRosy,living room ,καθιστικό,noun,neuter,home,area,
170,TSTc4QL80b,bathroom ,τουαλέτα,noun,feminine,home,area,
171,oWowAdvDXg,kitchen,κουζίνα,noun,feminine,home,area,
172,Fwtd2oMLAE,dining room ,τραπεζαρία,noun,feminine,home,area,
173,ioBfTuRpeH,wall,τείχος,noun,masculine,home,,
174,gHSUxlvni8,ceiling ,ταβάνι,noun,neuter,home,,
175,2Nan5VnjrL,floor of a room,πάτωμα,noun,neuter,home,,
176,qy3mobyPmX,"basement, cellar ",υπόγειο,noun,neuter,home,area,
177,7ZNEuFeJhP,attic,σοφίτα,noun,feminine,home,area,
178,fFVNucmuI1,yard,αυλή,noun,feminine,home,area,
179,DVuyAHzlpl,garden,κήπος,noun,masculine,home,area,
180,vacjJGFXPt,hallway ,διάδρομος,noun,masculine,home,area,
181,wFhTeUgqYp,broom,σκούπα,noun,feminine,home,,
182,XfMoPWOKf3,bruch,βούρτσα,noun,feminine,home,,
183,SbnRoe7QlA,bucket,κουβάς,noun,masculine,home,,
184,Qt5RzGlSTO,drain,σιφώνι,noun,neuter,home,bathroom,
185,8NZPzQ5A0i,tree,δέντρο,noun,neuter,nature,,
186,qhQspvSBG7,"path, trail",μονοπάτι,noun,neuter,nature,,
187,TqSrIKJnn9,"bush, shrub",θάμνος,noun,masculine,nature,,
188,QlFOF6Wjk8,flower,λουλούδι,noun,neuter,nature,,
189,BdqwOablcv,fog,ομίχλη,noun,feminine,nature,weather,
190,DRlai9Nzs4,forest,δάσος,noun,masculine,nature,,
191,FFZShXfRlJ,hill,λόφος,noun,masculine,nature,,
192,lf0z3FKV4t,"beach, coast, shore",παραλία,noun,feminine,nature ,,
193,n73TRq9xEx,rock,βράχος,noun,masculine,nature ,,
194,ZBDMPGWwYW,cloud,σύννεφο,noun,neuter,nature ,,
195,Z1ySO4pZCD,sky,ουρανός,noun,masculine,nature ,,
196,gKYMMv4CnD,sun,ήλιος,noun,masculine,nature ,,
197,k=zXDs.ZXT,teacher (f),δασκάλα,noun,feminine,occupation,,
198,gY9hycbIx3,teacher (m),δάσκαλος,noun,masculine,occupation,,
199,w]qJY!`5)6,adult (f),ενήλικη,noun,feminine,person,,
200,C&8M86~.&c,adult (m),ενήλικος,noun,masculine,person,,
201,fFK9wwqv~j,aunt,θεία,noun,feminine,person,,
202,A6uu0:tGUE,baby,μωρό,noun,neuter,person,,
203,ipX;ZL|NKs,best man,κουμπάρος,noun,masculine,person,,
204,EmdG*wfWi~,best woman,κουμπάρα,noun,feminine,person,,
205,tE+DIcx6Vf,boy,αγόρι,noun,neuter,person,,
206,i+efxy`5vd,brother,αδελφός,noun,masculine,person,,
207,ui3~+/WCx9,child,παιδί,noun,neuter,person,,
208,h@r()F4v+D,cousin (f),ξαδέλφη,noun,feminine,person,,
209,fg@:sZ|;Ir,cousin (m),ξάδελφος,noun,masculine,person,,
210,"CR0[,7cDgf",dad,μπαμπάς,noun,masculine,person,,
